date,open,high,low,close,volume
2021-10-29 00:00:00+05:30,230.2,230.2,208.3,209.65,108332
2021-11-01 00:00:00+05:30,210.6,220.1,210.6,220.1,10364
2021-11-02 00:00:00+05:30,231.1,231.1,224.05,231.1,38796
2021-11-03 00:00:00+05:30,242.65,242.65,242.65,242.65,20374
2021-11-04 00:00:00+05:30,253.9,254.75,245.05,250.65,44793
2021-11-08 00:00:00+05:30,261.7,263.15,247,262.8,87692
2021-11-09 00:00:00+05:30,270,270,249.7,250.2,96035
2021-11-10 00:00:00+05:30,237.7,237.7,237.7,237.7,9089
2021-11-11 00:00:00+05:30,225.85,225.85,225.85,225.85,12399
2021-11-12 00:00:00+05:30,214.6,233.85,214.6,214.6,176294
2021-11-15 00:00:00+05:30,206.15,213.85,203.9,203.9,64248
2021-11-16 00:00:00+05:30,194.25,211,193.75,207.75,136252
2021-11-17 00:00:00+05:30,210,210.95,197.4,197.4,47535
2021-11-18 00:00:00+05:30,191.3,196.05,187.55,187.55,33378
2021-11-22 00:00:00+05:30,179.3,190.9,177,177.7,34446
2021-11-23 00:00:00+05:30,177,186.55,177,186.55,19214
2021-11-24 00:00:00+05:30,194.95,195.85,194.65,195.85,30492
2021-11-25 00:00:00+05:30,202,203.95,195,199.9,44129
2021-11-26 00:00:00+05:30,196.5,197.65,189.95,190.95,26723
2021-11-29 00:00:00+05:30,190.95,197.95,186,193.7,19563
2021-11-30 00:00:00+05:30,186,199.9,186,191.25,7480
2021-12-01 00:00:00+05:30,192,192.6,186.5,188.4,4901
2021-12-02 00:00:00+05:30,190.55,194,185.55,187.05,9655
2021-12-03 00:00:00+05:30,194,194,189,190.5,8000
2021-12-06 00:00:00+05:30,194.8,194.8,185.5,189.65,9942
2021-12-07 00:00:00+05:30,193.95,193.95,188.05,189.55,6769
2021-12-08 00:00:00+05:30,189,192.5,180.1,187.8,23381
2021-12-09 00:00:00+05:30,190.6,197.15,189,197.15,16153
2021-12-10 00:00:00+05:30,205.9,207,205.5,207,23502
2021-12-13 00:00:00+05:30,217.35,217.35,208.1,217.35,40997
2021-12-14 00:00:00+05:30,220.95,220.95,207,208.85,33171
2021-12-15 00:00:00+05:30,208.05,208.05,198.45,200.65,25355
2021-12-16 00:00:00+05:30,206,206,199,200.65,9662
2021-12-17 00:00:00+05:30,201,203.9,196,197.45,14864
2021-12-20 00:00:00+05:30,194,200.95,187.6,187.6,9780
2021-12-21 00:00:00+05:30,179.2,195.9,179.2,186.45,18587
2021-12-22 00:00:00+05:30,193.75,195.75,189.05,193.45,12440
2021-12-23 00:00:00+05:30,193.45,196.4,186,192.5,14688
2021-12-24 00:00:00+05:30,188.1,201.7,187.95,197.6,13399
2021-12-27 00:00:00+05:30,203.3,207,195,204.15,20508
2021-12-28 00:00:00+05:30,213,213,196.7,199.65,19452
2021-12-29 00:00:00+05:30,200.4,203.95,195.2,200.7,14843
2021-12-30 00:00:00+05:30,200.3,205.95,195.3,200.15,22892
2021-12-31 00:00:00+05:30,197.65,203.85,197.65,201.25,16668
